Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
WC26,"Yesterday, 19 Jun
1
X
2
",Scotland,Morocco,0.0,1.0,A,6.01,3.84,1.75
WC26,20/06/2026,Brazil,Haiti,3.0,0.0,H,1.14,11.7,26.0
WC26,20/06/2026,Turkey,Paraguay,0.0,1.0,A,2.17,3.45,4.32
WC26,"Today, 20 Jun
1
X
2
13:0",Netherlands,Sweden,,,,1.8,4.2,4.94
WC26,20/06/2026,Germany,Ivory Coast,,,,1.55,4.83,6.6
WC26,20/06/2026,Ecuador,Curacao,,,,1.16,9.9,27.0
WC26,"Tomorrow, 21 Jun
1
X
2
0",Tunisia,Japan,,,,7.1,4.22,1.63
WC26,20/06/2026,Spain,Saudi Arabia,,,,1.12,12.6,39.0
WC26,20/06/2026,Belgium,Iran,,,,1.48,4.88,7.9
WC26,20/06/2026,Uruguay,Cape Verde,,,,1.5,4.37,9.5
WC26,20/06/2026,New Zealand,Egypt,,,,6.1,4.38,1.65
WC26,20/06/2026,Argentina,Austria,,,,1.62,4.1,6.61
WC26,20/06/2026,France,Iraq,,,,1.1,13.5,42.0
WC26,20/06/2026,Norway,Senegal,,,,2.4,3.59,3.26
WC26,20/06/2026,Jordan,Algeria,,,,6.26,4.3,1.65
WC26,20/06/2026,Portugal,Uzbekistan,,,,1.22,7.53,19.0
WC26,20/06/2026,England,Ghana,,,,1.25,6.85,17.5
WC26,20/06/2026,Panama,Croatia,,,,7.39,4.2,1.59
WC26,20/06/2026,Colombia,D.R. Congo,,,,1.57,4.33,7.65
WC26,20/06/2026,Bosnia & Herzegovina,Qatar,,,,1.49,5.03,7.39
WC26,20/06/2026,Switzerland,Canada,,,,2.59,3.4,3.41
WC26,20/06/2026,Scotland,Brazil,,,,8.5,5.7,1.43
WC26,20/06/2026,Morocco,Haiti,,,,1.22,7.25,19.5
WC26,20/06/2026,Czech Republic,Mexico,,,,3.9,4.18,2.1
WC26,20/06/2026,South Africa,South Korea,,,,6.06,4.07,1.68
WC26,20/06/2026,Curacao,Ivory Coast,,,,29.0,9.35,1.15
WC26,20/06/2026,Ecuador,Germany,,,,5.23,3.94,1.77
WC26,20/06/2026,Japan,Sweden,,,,2.25,3.54,3.55
WC26,20/06/2026,Tunisia,Netherlands,,,,10.5,5.6,1.37
WC26,20/06/2026,Paraguay,Australia,,,,3.02,2.5,4.26
WC26,20/06/2026,Turkey,USA,,,,3.35,4.3,2.25
WC26,20/06/2026,Norway,France,,,,4.57,3.92,1.9
WC26,20/06/2026,Senegal,Iraq,,,,1.33,5.6,12.7
WC26,20/06/2026,Cape Verde,Saudi Arabia,,,,2.89,3.97,2.5
WC26,20/06/2026,Uruguay,Spain,,,,6.5,4.5,1.6
WC26,20/06/2026,New Zealand,Belgium,,,,15.5,7.1,1.27
WC26,20/06/2026,Egypt,Iran,,,,2.2,3.26,4.09
WC26,20/06/2026,Croatia,Ghana,,,,1.65,3.93,6.2
WC26,20/06/2026,Panama,England,,,,13.0,7.83,1.28
WC26,20/06/2026,Colombia,Portugal,,,,3.84,3.53,2.15
WC26,20/06/2026,D.R. Congo,Uzbekistan,,,,2.2,3.88,3.5
WC26,20/06/2026,Algeria,Austria,,,,3.23,3.3,2.67
WC26,20/06/2026,Jordan,Argentina,,,,17.5,7.75,1.22
